Feature,Coefficient
Sex,2.5918770967110856
Embarked_C,0.18451529934393543
Embarked_Q,0.05585707433641212
Fare,0.002512215029107509
Age,-0.03127576184887393
Parch,-0.1119218381488761
Embarked_S,-0.24208671186779585
SibSp,-0.2960861163104463
Pclass,-0.9390723918398866
